Ciudad,via,tipo radar,km,direccion
,CL-629,Radar Fijo,75,Decreciente
,CL-629,Radar Móvil,0.000-46.900,46.900
,CL-629,Radar Fijo,68.25,Creciente
,CL-629,Radar Móvil,82.500-104.790,104.790
,CL-629,Radar Fijo,87.5,Creciente
,CL-629,Radar Fijo,99.5,Decreciente
,N-120,Radar Fijo,67.675,Decreciente
,N-120,Radar Móvil,117.300-125.330,125.330
,N-120,Radar Móvil,143.040-160.660,160.660
,N-120,Radar Móvil,160.640-166.390,166.390
,N-122,Radar Móvil,247.040-268.790,268.790
,N-122,Radar Fijo,262.2,Ambos
,N-122,Radar Fijo,264.4,Creciente
,N-122,Radar Móvil,273.810-296.550,296.550
,N-232,Radar Móvil,467.880-473.000,473.000
,N-232,Radar Móvil,480.750-500.480,500.480
,N-234,Radar Móvil,408.400-435.780,435.780
,N-234,Radar Móvil,435.780-450.320,450.320
,N-234,Radar Móvil,450.320-451.700,451.700
,N-234,Radar Móvil,451.700-484.080,484.080
,N-620a,Radar Móvil,6.600-12.380,12.380
,N-622,Radar Móvil,47.850-76.980,76.980
,N-622,Radar Móvil,76.980-78.890,78.890
,N-622,Radar Móvil,78.890-79.990,79.990
,N-623,Radar Fijo,87.2,Decreciente
,N-627,Radar Móvil,18.910-54.310,54.310
,N-627,Radar Móvil,55.480-68.100,68.100
,N-627,Radar Fijo,67.1,Decreciente
,N-629,Radar Fijo,28.79,Creciente
,N-I,Radar Fijo,301,Creciente
,N-I,Radar Móvil,257.440-263.900,263.900
,N-I,Radar Móvil,263.900-277.510,277.510
,N-I,Radar Fijo,271.7,Creciente
,N-I,Radar Móvil,277.510-278.220,278.220
,N-I,Radar Móvil,301.980-321.450,321.450
,N-I,Radar Fijo,302.68,Decreciente
,N-I,Radar Fijo,303.8,Creciente
,A-5,Radar Fijo,179.125,Decreciente
,A-5,Radar Fijo,183.82,Creciente
,A-66,Radar Fijo,508.074,Creciente
,CC-100,Radar Móvil,0.000-14.720,14.720
,CC-36,Radar Móvil,0.000-41.700,41.700
,CC-38,Radar Móvil,1.500-8.400,8.400
,EX-100,Radar Móvil,19.000-37.060,37.060
,EX-100,Radar Móvil,3.020-16.5000,16.5000
,EX-100,Radar Fijo,8.57,Creciente
,EX-102,Radar Móvil,24.000-50.000,50.000
